timestamp,tag,x,y,z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
1551531052,0x6737,-639,5645,4903,100405250,742,338,-568,-312,-555,513,0,2,1,3344,784,-2381,1924,14271,2433,7426,2,5,-18,740,332,-550,45
1551531052,0x6e36,-2404,8423,4642,100392250,321,-29,-930,-468,-235,425,-65,28,173,4240,304,2854,1672,11910,-10917,2144,1,-3,-3,319,-25,-926,42
1551531052,0x6e58,-642,5132,4867,100452000,392,-217,-872,-1521,2169,1995,0,-3,-1,5007,375,2643,2294,6348,-14593,3149,1,12,-2,390,-229,-869,38
1551531053,0x6737,-643,5435,4925,100400250,740,338,-561,-300,-572,507,-2,-3,2,3344,784,-2381,1924,14271,2433,7426,2,5,-7,740,332,-550,45
1551531053,0x6724,-3502,7417,4367,100300500,786,554,144,-1163,-57,891,48,-57,-34,5042,858,-1230,-11404,-9148,5705,-4707,-3,-11,13,790,565,131,44
1551531053,0x6726,-953,5065,4611,100322250,-919,115,-329,363,224,-1505,-1,-6,-2,3719,-1112,-2582,-4186,11210,-7285,-8496,-2,4,-11,-918,109,-325,40
1551531054,0x6750,-1075,7305,4798,100640750,902,-411,-111,-764,745,657,164,-397,113,4566,1003,1676,-8661,-2291,12027,-6597,30,22,3,871,-434,-114,41
1551531054,0x6735,-665,4931,4729,100412750,-146,32,975,312,491,-260,-2,-1,-1,4823,-151,-38,-14243,366,-1343,-7978,14,-7,8,-161,40,966,43
1551531055,0x6737,-578,5300,601,100400250,741,335,-555,-324,-555,494,4,4,2,3344,784,-2381,1924,14271,2433,7426,2,7,-7,740,332,-550,45
1551531055,0x6e36,-2255,8510,460,100389750,379,-71,-919,-515,-128,420,-28,26,16,4619,340,2801,2072,9374,-13075,2303,23,6,-9,355,-78,-910,42
1551531055,0x6e58,-708,5003,300,100449500,391,-217,-871,-1521,2169,1974,3,-5,0,5007,375,2643,2293,6348,-14594,3148,0,12,-2,390,-229,-869,38
1551531055,0x6737,-675,5650,4876,100401000,740,339,-559,-305,-542,513,4,4,2,3344,784,-2381,1924,14271,2433,7426,0,6,-8,740,332,-550,45
